id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51578376,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,86062290,Fernanda,,Ramersdorf-Perlach,48.12182,11.59869,Entire home/apt,351,9,1,2021-10-16,0.05,1,0,0,
51589842,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,417933768,Ralf,,Schwabing-West,48.175262,11.565106,Private room,57,7,51,2023-06-24,2.33,3,15,26,
51590728,Rental unit in Munich · ★4.50 · 1 bedroom · 1 bed · 1 bath,405998728,S. Carolin,,Ramersdorf-Perlach,48.10022,11.65745,Entire home/apt,58,4,4,2022-03-28,0.18,1,0,0,
51615730,Rental unit in Munich · ★4.82 · 1 bedroom · 1 bed · 1 bath,291740288,Rigo,,Schwanthalerhöhe,48.13709,11.54635,Entire home/apt,189,2,51,2023-06-17,2.29,1,135,32,
51646360,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 bath,27197104,Konstantin,,Maxvorstadt,48.14574,11.56294,Entire home/apt,140,7,12,2023-05-25,0.58,1,142,7,
51647074,Rental unit in Munich · ★4.92 · 1 bedroom · 1 bed · 1 bath,9513059,Madsen,,Ludwigsvorstadt-Isarvorstadt,48.137234,11.563997,Entire home/apt,105,4,12,2023-06-13,0.55,1,43,11,
51662465,Rental unit in Munich · ★4.91 · 1 bedroom · 1 bed · 1 bath,50174676,Ruki,,Altstadt-Lehel,48.13446,11.58551,Entire home/apt,80,3,11,2022-08-28,0.49,1,0,3,
51667762,Home in Munich · 1 bedroom · 1 bed · 1.5 baths,7830738,Tamara,,Pasing-Obermenzing,48.16373,11.44599,Entire home/apt,120,2,0,,,1,0,0,
51676666,Rental unit in Munich · ★4.57 · 1 bedroom · 1 bed · 1 bath,10444213,Polina,,Sendling,48.11832,11.53642,Entire home/apt,41,10,7,2022-12-31,0.31,1,0,3,
51684087,Rental unit in Munich · ★4.50 · Studio · 2 beds · 1 bath,417830295,Mona,,Ludwigsvorstadt-Isarvorstadt,48.12839,11.5681,Entire home/apt,75,1,8,2023-05-22,0.54,1,7,4,
51698024,Rental unit in Munich · ★4.63 · Studio · 1 bed · 1 bath,991736,Siegfried,,Schwabing-Freimann,48.16038,11.58474,Entire home/apt,52,28,8,2023-04-05,0.39,1,58,4,
51699527,Rental unit in Munich · ★4.67 · 1 bedroom · 2 beds · 1 bath,227180705,Patrick,,Altstadt-Lehel,48.14768,11.5962,Entire home/apt,140,3,3,2023-05-13,0.30,1,6,3,
51703239,Rental unit in Munich · ★4.88 · 1 bedroom · 1 bed · 1 bath,54239071,Julia & Igor,,Maxvorstadt,48.144,11.56051,Entire home/apt,125,2,40,2023-06-25,1.89,8,52,37,
51703274,Rental unit in Munich · ★4.88 · 1 bedroom · 1 bed · 1 bath,54239071,Julia & Igor,,Maxvorstadt,48.14567,11.56283,Entire home/apt,126,2,42,2023-06-25,1.95,8,68,32,
51718477,Rental unit in Munich · ★4.80 · 2 bedrooms · 2 beds · 1 bath,150664656,Marcel,,Schwabing-West,48.16764,11.56129,Entire home/apt,399,2,5,2022-09-25,0.24,1,0,1,
51722604,Rental unit in Munich · ★4.92 · 1 bedroom · 1 bed · 1 bath,43914688,Diana,,Maxvorstadt,48.153927,11.561266,Entire home/apt,134,3,36,2023-05-22,1.65,1,36,19,
51723717,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,12296847,Monja,,Obergiesing,48.11532,11.59257,Entire home/apt,50,4,0,,,1,34,0,
51725120,Rental unit in Munich · 1 bedroom · 2 beds · 1 bath,116068501,Susanne,,Sendling,48.11334,11.54684,Entire home/apt,100,4,0,,,1,0,0,
51739385,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 bath,49362266,Laura,,Ludwigsvorstadt-Isarvorstadt,48.13308,11.57618,Entire home/apt,135,1,3,2022-05-01,0.14,2,0,0,
51740254,Rental unit in Munich · ★4.92 · Studio · 1 bed · 1 bath,99855677,Louisa,,Maxvorstadt,48.1539,11.56219,Entire home/apt,104,3,25,2023-05-29,1.14,1,33,6,
51740284,Rental unit in Munich · ★4.91 · 1 bedroom · 1 bed · 1 bath,4928000,Vaiga,,Ludwigsvorstadt-Isarvorstadt,48.12763,11.56073,Entire home/apt,89,3,23,2023-06-08,1.03,1,11,13,
